qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q4,9.755861541117605,0.9147471718056226,3.2296199082913515,0.6302311609009039,6.085309699438518,1.1867376601260593,155,2026-03-15 20:27:55
Q1,6.963016718827413,0.532856753857906,3.1069495014074335,0.6644154482781706,2.9985116747904366,0.589210849974459,160,2026-03-14 08:59:30
Q2,11.630978659420517,1.3801736174119215,9.535087123689932,7.25216009971974,1.3811383928571432,0.7508136257838148,160,2026-03-14 09:09:12
Q3,7.73916097035951,0.6394725724622816,5.299167617720738,1.4424770213921563,4.828581829530175,0.795549406345787,160,2026-03-14 09:19:03
Q4,12.78517769277709,1.1316414120012193,2.6945818252787515,0.6113593623533866,4.75598549000367,1.0264602801445057,160,2026-03-14 09:28:52
Q1,5.6785626477136155,0.5085503045661239,3.009469131358758,0.6624806762860803,2.700504641520357,0.6626955039848778,165,2026-03-15 18:16:35
Q2,19.624194690407947,4.221807259721295,2.3479352678571432,1.0607271780649894,2.3479352678571432,0.9013780689183063,165,2026-03-15 18:26:06
Q3,6.729553193448109,0.5775962483099365,2.751817932744915,0.8355888961129697,3.895987488960596,0.5908672705156005,165,2026-03-15 18:35:44
Q4,7.428436544583455,0.8424455947485391,3.9242582671518687,0.8283400974695447,4.833675201059379,0.9554484611784385,165,2026-03-15 18:45:21
Q1,5.087418375872785,0.5550315224652669,2.3974840267486446,0.5452631153477259,2.1074769873069017,0.5144494392721017,170,2026-03-14 11:14:49
Q2,9.44542814706591,1.3762155556796372,1.4501953125000002,0.9730044421514151,1.3811383928571432,0.8299574656717987,170,2026-03-14 11:24:31
Q3,6.430242472182648,0.7006752406198031,3.751898335350724,1.1106101680568867,2.962522441739609,0.5917764738721705,170,2026-03-14 11:34:22
Q4,7.668582666320419,0.8799923712129699,2.5451760172993976,0.6481292144667532,2.6152365865170553,0.6604909781934193,170,2026-03-14 11:44:12
Q1,4.263108832986067,0.46924612473097915,2.129155703094548,0.5199666028528509,1.9243625989221644,0.49905608527647816,175,2026-03-15 01:43:18
Q2,6.016308629065167,1.0546889338138767,1.4501953125000002,0.8118464601886193,1.3811383928571432,0.7423581215996068,175,2026-03-15 01:52:23
Q3,4.155825130421094,0.518227687388416,2.6932006733076275,0.533928289433995,2.8886761986888443,0.7214596574366976,175,2026-03-15 02:01:39
Q4,4.874912926245433,0.6763317596311738,3.2708209915346136,0.7864015844441593,3.417178406259972,0.9907963483120376,175,2026-03-15 02:10:50
Q1,3.390758910281172,0.45398511013850984,2.2574569095648584,0.6930158588869383,1.5064275148542436,0.4766928048694793,180,2026-03-14 16:28:45
Q2,5.230216682723791,0.8705135269742035,1.4501953125000002,0.7751419985169447,1.3811383928571432,0.7596800803584302,180,2026-03-14 16:38:11
Q3,3.745548598355137,0.4581462514872781,2.0794885151155054,0.3952629329924,2.2302452345923385,0.4964868471103309,180,2026-03-14 16:47:42
Q4,5.3184066869038835,0.7591289810027734,2.5202052110621636,0.6514207229474462,1.9130879526480835,0.6405744509093205,180,2026-03-14 16:57:17
Q1,2.8772259554626163,0.38960063395309247,1.661418680386336,0.5639006761064825,1.3811383928571432,0.4756760696466286,185,2026-03-15 00:32:40
Q2,5.0055871071698705,1.1799148028986393,1.4501953125000004,0.7858193489440718,1.3811383928571432,0.824334924183825,185,2026-03-15 00:41:43
Q3,3.5178065313766735,0.5169124648513461,1.7670773765185432,0.4030522517693848,1.5930662432366793,0.5967003494998555,185,2026-03-15 00:50:56
Q4,3.7691697733582976,0.6400465951789881,1.4501953125000002,0.7978891700385092,2.1699002253842226,0.7956190517707535,185,2026-03-15 01:00:08
Q1,2.8864224439794617,0.46419496560471823,1.0019366204995428,0.40949376375840846,0.9258726632170085,0.394769254473066,190,2026-03-14 18:07:49
Q2,3.562852559784767,0.9405443969876671,0.8977399553571811,0.5641865431530767,0.8286830357142858,0.6551871133078262,190,2026-03-14 18:16:48
Q3,2.5811823781506407,0.4115728218838554,1.4283299814116215,0.3429647545561811,1.5543046627644994,0.5303414804932759,190,2026-03-14 18:25:56
Q4,2.9382520317265133,0.5463123839811463,1.2429966647292914,0.46141751082567817,0.9011072033619206,0.46622888729637746,190,2026-03-14 18:35:06
Q1,1.820440402642082,0.3851338456606594,1.1145002916897542,0.4335275067504938,0.6353669583053551,0.3103050909200243,195,2026-03-14 23:01:47
Q2,2.8673413656405233,0.942335374351036,0.5524553571428572,0.5164167417407068,0.5524553571428572,0.5150644964477608,195,2026-03-14 23:10:36
Q3,1.6724079988208866,0.32309245955395954,1.1912343373804168,0.3672606277967013,1.372218415258266,0.4657215076088947,195,2026-03-14 23:19:34
Q4,2.592808602847105,0.6376713895619822,1.2033299897380423,0.5214026600517807,0.9995800632137699,0.730150886730447,195,2026-03-14 23:28:32
Q1,1.619457385083207,0.35481678764962177,0.7823565276809287,0.35202211931828875,0.5713100215435923,0.31081642171980145,200,2026-03-14 21:59:25
Q2,1.765741179493248,0.6386569866044585,0.5524553571428572,0.4826133418961498,0.5524553571428572,0.5283479131913222,200,2026-03-14 22:08:14
Q3,1.3647221984504043,0.32551145396951864,1.0504614938040389,0.33403103796786604,1.3442942361620662,0.5586663442340023,200,2026-03-14 22:17:16
Q4,1.6765776768551943,0.4446783528999822,0.9006676400393765,0.4644009443107333,0.6477456616855074,0.5620684917590107,200,2026-03-14 22:26:16
Q1,16.065819766122708,0.6957755775624804,9.359579721832441,1.201603113653699,8.850640810184572,0.9391920354785435,20,2026-03-12 21:58:52
Q2,30.939359179879173,1.8220796390983665,3.5909598214285716,1.2913226114871845,3.5909598214285716,1.3187606770561744,20,2026-03-12 22:06:07
Q3,22.46430015739242,0.9726566205380542,9.091339154576895,0.8206768136034731,12.771298874343268,1.0730081841676962,20,2026-03-12 22:13:26
Q4,31.524533311619606,1.7256394170256109,10.541900172966667,1.4181775718159069,7.507962048720497,1.177690130234017,20,2026-03-12 22:20:47
Q1,1.4214418073297999,0.3825330855105691,0.5524553571428572,0.37931843452130515,0.5524553571428572,0.33284194698231895,210,2026-03-16 11:36:02
Q2,0.4230359364312249,0.8470163305098054,0.5524553571428572,0.49243134250830634,0.5524553571428572,0.5219546890261872,210,2026-03-16 11:44:53
Q3,1.1472693751823477,0.36503024646053334,0.883751367220034,0.45135154081321277,0.7455090158719007,0.7205559172997357,210,2026-03-16 11:53:54
